Week Endings,Avg Ticket Price ($),Top Ticket Price ($),Seats Sold,Seats in Theatre,% Cap
"Jan 18, 2026",$129.26,$279.00,12906.0,1696,95.12%
"Jan 11, 2026",$132.10,$259.00,12928.0,1696,95.28%
"Jan 4, 2026",$234.09,$399.00,13439.0,1696,99.05%
"Dec 28, 2025",$265.28,$375.00,14760.0,1696,96.70%
"Dec 21, 2025",$208.19,$339.00,13229.0,1696,97.50%
"Dec 14, 2025",$180.15,$315.00,13161.0,1696,97.00%
"Dec 7, 2025",$181.74,$325.00,13262.0,1696,97.74%
"Nov 30, 2025",$208.04,$339.00,13397.0,1696,98.74%
"Nov 23, 2025",$152.44,$307.00,12954.0,1696,95.47%
"Nov 16, 2025",$134.58,$249.00,13083.0,1696,96.43%
"Nov 9, 2025",$146.38,$259.00,13267.0,1696,97.78%
"Nov 2, 2025",$135.95,$232.00,12717.0,1696,93.73%
"Oct 26, 2025",$145.04,$249.00,12943.0,1696,95.39%
"Oct 19, 2025",$154.44,$249.00,13253.0,1696,97.68%
"Oct 12, 2025",$167.80,$277.00,13541.0,1696,99.80%
"Oct 5, 2025",$145.31,$249.00,13326.0,1696,98.22%
"Sep 28, 2025",$121.64,$239.00,13044.0,1696,96.14%
"Sep 21, 2025",$131.92,$237.00,13471.0,1696,99.29%
"Sep 14, 2025",$127.10,$232.00,13319.0,1696,98.16%
"Sep 7, 2025",$116.17,$215.00,12496.0,1696,92.10%
"Aug 31, 2025",$142.32,$259.00,13179.0,1696,97.13%
"Aug 24, 2025",$140.32,$229.00,12977.0,1696,95.64%
"Aug 17, 2025",$152.53,$269.00,12773.0,1696,94.14%
"Aug 10, 2025",$168.40,$279.00,13246.0,1696,97.63%
"Aug 3, 2025",$166.38,$292.00,13232.0,1696,97.52%
"Jul 27, 2025",$174.81,$289.00,13296.0,1696,98.00%
"Jul 20, 2025",$167.12,$297.00,13275.0,1696,97.84%
"Jul 13, 2025",$166.37,$297.00,13168.0,1696,97.05%
"Jul 6, 2025",$155.68,$262.00,13196.0,1696,97.26%
"Jun 29, 2025",$153.60,$259.00,13457.0,1696,99.18%
"Jun 22, 2025",$158.16,$249.00,13543.0,1696,99.82%
"Jun 15, 2025",$156.34,$259.00,13349.0,1696,98.39%
"Jun 8, 2025",$149.65,$229.00,13381.0,1696,98.62%
"Jun 1, 2025",$149.75,$225.00,13414.0,1696,98.86%
"May 25, 2025",$153.47,$237.00,13392.0,1696,98.70%
"May 18, 2025",$139.48,$209.00,12925.0,1696,95.26%
"May 11, 2025",$141.42,$209.00,12699.0,1696,93.60%
"May 4, 2025",$153.10,$222.00,13062.0,1696,96.27%
"Apr 27, 2025",$173.79,$259.00,13353.0,1696,98.42%
"Apr 20, 2025",$194.62,$339.00,15109.0,1696,98.98%
"Apr 13, 2025",$159.55,$275.00,13099.0,1696,96.54%
"Apr 6, 2025",$151.50,$237.00,13110.0,1696,96.62%
"Mar 30, 2025",$159.25,$249.00,13278.0,1696,97.86%
"Mar 23, 2025",$155.06,$249.00,13279.0,1696,97.87%
"Mar 16, 2025",$151.89,$299.00,13131.0,1696,96.78%
"Mar 9, 2025",$116.91,$267.00,13203.0,1696,97.31%
"Mar 2, 2025",$121.80,$299.00,12545.0,1696,92.46%
"Feb 23, 2025",$147.87,$285.00,13164.0,1696,97.02%
"Feb 16, 2025",$143.38,$275.00,12849.0,1696,94.70%
"Feb 9, 2025",$127.45,$257.00,12573.0,1696,92.67%
"Feb 2, 2025",$130.65,$259.00,13105.0,1696,96.59%
"Jan 26, 2025",$131.95,$239.00,12797.0,1696,94.32%
"Jan 19, 2025",$140.12,$239.00,12477.0,1696,91.96%
"Jan 12, 2025",$134.58,$239.00,13035.0,1696,96.07%
"Jan 5, 2025",$207.97,$477.00,13464.0,1696,99.23%
"Dec 29, 2024",$279.04,$477.00,15063.0,1696,98.68%
"Dec 22, 2024",$216.20,$325.00,13402.0,1696,98.78%
"Dec 15, 2024",$187.24,$325.00,13341.0,1696,98.33%
"Dec 8, 2024",$187.03,$325.00,13311.0,1696,98.11%
"Dec 1, 2024",$221.18,$339.00,13036.0,1696,96.08%
"Nov 24, 2024",$154.10,$227.00,13021.0,1696,95.97%
"Nov 17, 2024",$140.70,$227.00,12782.0,1696,94.21%
