Week Endings,Avg Ticket Price ($),Top Ticket Price ($),Seats Sold,Seats in Theatre,% Cap
2026-01-18,129.26,279.0,12906,1696,95.12
2026-01-11,132.1,259.0,12928,1696,95.28
2026-01-04,234.09,399.0,13439,1696,99.05
2025-12-28,265.28,375.0,14760,1696,96.7
2025-12-21,208.19,339.0,13229,1696,97.5
2025-12-14,180.15,315.0,13161,1696,97.0
2025-12-07,181.74,325.0,13262,1696,97.74
2025-11-30,208.04,339.0,13397,1696,98.74
2025-11-23,152.44,307.0,12954,1696,95.47
2025-11-16,134.58,249.0,13083,1696,96.43
2025-11-09,146.38,259.0,13267,1696,97.78
2025-11-02,135.95,232.0,12717,1696,93.73
2025-10-26,145.04,249.0,12943,1696,95.39
2025-10-19,154.44,249.0,13253,1696,97.68
2025-10-12,167.8,277.0,13541,1696,99.8
2025-10-05,145.31,249.0,13326,1696,98.22
2025-09-28,121.64,239.0,13044,1696,96.14
2025-09-21,131.92,237.0,13471,1696,99.29
2025-09-14,127.1,232.0,13319,1696,98.16
2025-09-07,116.17,215.0,12496,1696,92.1
2025-08-31,142.32,259.0,13179,1696,97.13
2025-08-24,140.32,229.0,12977,1696,95.64
2025-08-17,152.53,269.0,12773,1696,94.14
2025-08-10,168.4,279.0,13246,1696,97.63
2025-08-03,166.38,292.0,13232,1696,97.52
2025-07-27,174.81,289.0,13296,1696,98.0
2025-07-20,167.12,297.0,13275,1696,97.84
2025-07-13,166.37,297.0,13168,1696,97.05
2025-07-06,155.68,262.0,13196,1696,97.26
2025-06-29,153.6,259.0,13457,1696,99.18
2025-06-22,158.16,249.0,13543,1696,99.82
2025-06-15,156.34,259.0,13349,1696,98.39
2025-06-08,149.65,229.0,13381,1696,98.62
2025-06-01,149.75,225.0,13414,1696,98.86
2025-05-25,153.47,237.0,13392,1696,98.7
2025-05-18,139.48,209.0,12925,1696,95.26
2025-05-11,141.42,209.0,12699,1696,93.6
2025-05-04,153.1,222.0,13062,1696,96.27
2025-04-27,173.79,259.0,13353,1696,98.42
2025-04-20,194.62,339.0,15109,1696,98.98
2025-04-13,159.55,275.0,13099,1696,96.54
2025-04-06,151.5,237.0,13110,1696,96.62
2025-03-30,159.25,249.0,13278,1696,97.86
2025-03-23,155.06,249.0,13279,1696,97.87
2025-03-16,151.89,299.0,13131,1696,96.78
2025-03-09,116.91,267.0,13203,1696,97.31
2025-03-02,121.8,299.0,12545,1696,92.46
2025-02-23,147.87,285.0,13164,1696,97.02
2025-02-16,143.38,275.0,12849,1696,94.7
2025-02-09,127.45,257.0,12573,1696,92.67
2025-02-02,130.65,259.0,13105,1696,96.59
2025-01-26,131.95,239.0,12797,1696,94.32
2025-01-19,140.12,239.0,12477,1696,91.96
2025-01-12,134.58,239.0,13035,1696,96.07
2025-01-05,207.97,477.0,13464,1696,99.23
2024-12-29,279.04,477.0,15063,1696,98.68
2024-12-22,216.2,325.0,13402,1696,98.78
2024-12-15,187.24,325.0,13341,1696,98.33
2024-12-08,187.03,325.0,13311,1696,98.11
2024-12-01,221.18,339.0,13036,1696,96.08
2024-11-24,154.1,227.0,13021,1696,95.97
2024-11-17,140.7,227.0,12782,1696,94.21
2024-11-10,147.1,227.0,13345,1696,98.36
2024-11-03,147.48,227.0,13303,1696,98.05
